,,,,"          
Fulton County Government",,,,,,,,,    Report-08-BLDG - Monthly Trends—One Page Per Year - Sites,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Jan 2021 - Dec 2021,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,Jan,Feb,Mar,Apr,May,Jun,Jul,,,Aug,Sep,Oct,Nov,Dec,Total,
,,Metropolitan Branch,,,0,0,0,0,"17,959","14,924","14,029",,,"16,868","12,873","10,830","10,225","5,920","103,628",
,,College Park Health Center,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,
,,Wolf Creek Branch,,,0,0,0,0,"7,882","13,335","15,325",,,"14,312","5,904","10,156","9,396","5,591","81,900",
,,Northwest Branch,,,0,0,0,0,0,0,0,,,0,278,"8,634","8,318","4,778","22,008",
,,,,,,,,,,,,,,,,,,,,
,,Alpharetta Branch,,,0,0,0,0,"10,275","8,547","9,233",,,"8,503","7,492","5,998","5,888","3,474","59,408",
,,,,,,,,,,,,,,,,,,,,
,,Water Op Center/Tax Commissioner,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,
,,Southeast Atlanta Branch,,,0,0,0,0,0,0,0,,,0,0,0,61,"1,923","1,985",
,,,,,,,,,,,,,,,,,,,,
,,Dorothy C. Benson Senior Multipurpose Complex,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,
,,Southwest Regional Branch,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,
,,Animal Services Facility,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,
,,Helene S Mills Senior Multipurpose Facility,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,
,,Fulton County Board of Health,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,
,,Powell Juvenile Justice Center/Mechanicsville Lib,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,
,,East Roswell Branch,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,
,,Neighborhood Union Health Center,,,0,0,0,0,0,0,0,,,0,0,0,33,"1,035","1,068",
,,,,,,,,,,,,,,,,,,,,
,,Union City Jail,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,
,,Gladys S. Dennard Library at South Fulton,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,
,,Aviation Culture Center,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,
,,South Fulton Service Center,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,
,,Medical Examiners Facility,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,
,,Sandy Springs Branch,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,
,,HJC Bowden Senior Multi-Purpose Facility,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,
,,Milton Branch,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,
,,Ponce De Leon Branch,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,
,,Northeast Spruill Oaks Branch,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,
,,QLS Center for Senior Citizens,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,
,,North Fulton Service Center,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,
,,New Beginnings Neighborhood Senior Center,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,
,,Dogwood Branch,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,
,,Adamsville/Collier Heights Branch,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,
,,Palmetto Branch,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,
,,College Park Branch,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,
,,Dogwood Senior Center,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,
,,Adams Park Branch,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,
,,Ocee Branch,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,
,,Cleveland Avenue Branch,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,
,,Buckhead Branch,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,
,,Southeast Neighborhood Senior Center,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,
,,Northside Branch,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,
,,Hapeville Branch,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,
,,Auburn Avenue Research Branch,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,
,,Total,,,0,0,0,0,"36,115","36,807","38,587",,,"39,682","26,546","35,618","33,921","22,721","269,997",
